Date,Article Title,Opperative,City/Town,State/Provence,Country,Reference,WB?,Affected,Duration,Infrastructure,Holiday,Fire / Death / Notes,Species,Alt URL
2017-07-16,Ohio Edison: Power outage in Youngstown caused by animal,unknown,Youngstown,OH,United States,http://wkbn.com/2017/07/16/ohio-edison-power-outage-in-youngstown-caused-by-animal/,Y,300,-,traffic lights,,,,
2017-07-16,Raccoon causes 7-acre wildfire in Moffat County,Raccoon,Craig,CO,United States,http://www.denverpost.com/2017/07/18/raccoon-causes-moffat-county-wildfire/,Y,31,150,,,fire,,
2017-07-15,"A power outage occurred on Saturday, July 15, at approximately 12:40 p.m.",unknown,Oak Ridge,TN,United States,http://www.oakridger.com/news/20170715/power-restored-in-oak-ridge,Y,-,-,traffic lights,,,,
2017-07-15,Animal to blame for downtown power outage Saturday night,unknown,Lynchburg,VA,United States,http://wset.com/news/local/animal-to-blame-for-downtown-power-outage-saturday-night,Y,76,-,,,,,
2017-07-14,POWER OUTAGE: A squirrel has tampered with the Elba hwy Substation causing a large outage. Crews are diligently working to restore power.,Squirrel,Troy,AL,United States,https://twitter.com/TroyALGov/status/885881676106256384,Y,-,-,,,,,
2017-07-14,UPDATE: Power restored along Milton Avenue in Janesville,Squirrel,Janesville,WI,United States,http://www.gazettextra.com/20170714/update_power_restored_along_milton_avenue_in_janesville,Y,-,132,traffic lights,,,,
2017-07-14,Update #Valemount outage: crews have restored power after an outage caused by a bird at the substation.,Bird,Valemount,BC,Canada,https://twitter.com/bchydro/status/885914977911144448,Y,2500,-,,,,,
2017-07-14,Official: Animal likely caused Hagerstown power outage,unknown,Haggerstown,PA,United States,http://www.heraldmailmedia.com/news/local/official-animal-likely-caused-hagerstown-power-outage/article_eef5a426-bbea-5838-a8ae-7b8dbb6af415.html,Y,1400,90,,,,,
2017-07-14,Official: Animal likely caused Hagerstown power outage,unknown,Hagerstown,MD,United States,http://www.heraldmailmedia.com/news/local/official-animal-likely-caused-hagerstown-power-outage/article_eef5a426-bbea-5838-a8ae-7b8dbb6af415.html,B,1400,-,,,,,
2017-07-14,"Momentary power outages in Fort Friday, Sunday",Squirrel,Ft. Atkinson,WI,United States,http://www.dailyunion.com/news/article_9547594c-6b0b-11e7-8c75-eb19183284d0.html,Y,1300,-,,,,,
